websites,hotelFax,hotelPhone,hotelAddress,hotelPrivacy,hotelAwards,hotelAbout,hotelMail,hotelMailHyper,hotelRoom,hotelActivities,hotelRestaurant,hotelMeeting,hotelGallery,hotelMap,hotelWeather,hotelTime,hotelPress,hotelSitemap,hotelUser,hotelFaq,hotelTrip,hotelOffers,hotelSearch,hotelPhoneHyper,hotelSecure,hotelCovid,hotelApp,hotelLiveSup,hotelSocial,hotelVideo,hotelVirtual,hotelNewsletter,hotelConsent,hotelOnRezerv,hotelCookie,hotelActiv,hotelPrice,hotelLang
https://www.hilton.com.tr/oteller/turkiye/istanbul/doubletree-by-hilton-istanbul-piyalepasa,1,2,2,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1
https://www.hilton.com.tr/oteller/turkiye/istanbul/doubletree-by-hilton-istanbul-avcilar,1,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1
https://www.hilton.com.tr/oteller/turkiye/trabzon/doubletree-by-hilton-trabzon/,1,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1
https://www.eliteworldhotels.com.tr/elite-world-business-otel.aspx,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,2,1,2,2,1,1,1,2,1,2,2,1,2,1,2,1,1
https://www.eliteworldhotels.com.tr/elite-world-istanbul-otel.aspx,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,2,1,2,2,1,1,1,2,1,2,2,1,2,1,2,1,1
https://www.eresin.com.tr/tr/eresintopkapi,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,2,1,1,1,2,2,1,2,2,2,1,1,2,2,1,1,1,2,1,2,1,2
https://www.eserpremiumhotel.com/,1,2,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,1,2,1,1,1,1
https://www.europarkotel.com/,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,2,2,2,2,1,2,2,1,2,1,2,2,2,2,1,1
https://www.fairmont-tr.com/istanbul/,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,1
https://www.fourseasons.com/tr/bosphorus/,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,2,1,1,1,1,2,2,2,2,1,1,1,2,2,1,1,2,2,2,2,2,2
https://istanbul-bayrampasa.goldentulip.com/tr/,1,2,2,2,1,1,2,1,2,2,2,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,2,1,1,1,1,1,2,2,2,2,1,1
https://www.gorrion.com/tr,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,2,1,2,1,2
https://www.gch.com.tr/,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,1,1,1,2,1,2,1,1
https://www.grandmakelhotel.com/tr,1,2,2,1,1,2,2,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,2,1,2,2,2
https://www.hilton.com.tr/oteller/turkiye/istanbul/hilton-istanbul-bakirkoy,1,2,2,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1
https://www.hilton.com.tr/oteller/turkiye/istanbul/hilton-istanbul-bomonti-hotel-and-conference-center,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1
https://www.hilton.com.tr/oteller/turkiye/istanbul/hilton-istanbul-bosphorus,1,2,2,2,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1
https://www.hilton.com.tr/oteller/turkiye/istanbul/hilton-istanbul-maslak/,1,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,2,1
https://www.ihg.com/holidayinn/hotels/tr/tr/ankara/ankhi/hoteldetail,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,1
https://www.hiistanbulcity.com.tr/,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,2,1,2,2,2
https://www.hisisli.com/tr/,1,2,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,2,2,1,2,2,1
https://istanbul.intercontinental.com/tr/,1,2,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,2,2,2,2,2,1,1
https://www.gonenhotels.com/tr/home,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,2,2,2
https://www.marriott.com/en-us/hotels/istmc-istanbul-marriott-hotel-asia/overview/,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1,2
https://www.marriott.com/en-us/hotels/istdt-istanbul-marriott-hotel-sisli/overview/,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1,1,1,1,2,2,2,1,2
https://www.marriott.com/en-us/hotels/esbjw-jw-marriott-hotel-ankara/overview/,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2
